Date;CLP;COP;ARS;MXN;DOP
01-09-2021;775,14;3.757,53;97,596;19,982;56,83
02-09-2021;767,1;3.792,53;97,83;19,9557;56,84
03-09-2021;768,36;3.797,53;97,87;19,915;56,85
04-09-2021;768,36;3.797,53;97,94;19,909;56,85
05-09-2021;768,36;3.797,53;97,785;19,922;56,74
06-09-2021;766,53;3.814,08;98;19,931;56,83
07-09-2021;770,33;3.841,23;97,854;19,917;56,71
08-09-2021;777,94;3.832,53;97,904;19,881;56,765
09-09-2021;787,51;3.828,13;98,185;19,865;56,75
10-09-2021;791,28;3.828,02;98,014;19,903;56,67
11-09-2021;791,28;3.812,53;98,054;19,854;56,64
12-09-2021;791,28;3.814,70;98,3;19,931;56,64
13-09-2021;789,91;3.825,03;98,154;20,0141;56,695
14-09-2021;784,26;3.841,53;98,263;20,1376;56,59
15-09-2021;783,25;3.834,78;98,272;20,128;56,51
16-09-2021;781,85;3.830,53;98,48;20,0831;56,47
17-09-2021;781,85;3.831,53;98,333;20,0431;56,44
18-09-2021;781,85;3.832,10;98,57;20,04;56,39
19-09-2021;781,85;3.840,78;98,434;20,093;56,39
20-09-2021;780,59;3.831,53;98,57;20,3166;56,34
21-09-2021;788,05;3.833,53;98,513;20,485;56,4
22-09-2021;785,1;3.805,33;98,73;20,63;56,31
23-09-2021;785,03;3.787,53;98,706;20,429;56,35
24-09-2021;787,24;3.787,53;98,89;20,479;56,34
25-09-2021;787,24;3.781,03;98,89;20,552;56,25
26-09-2021;787,24;3.785,53;98,91;20,549;56,21
27-09-2021;788,98;3.772,03;98,85;20,643;56,27
28-09-2021;795,48;3.764,88;98,85;20,689;56,32
29-09-2021;798,63;3.750,53;;20,855;56,33
30-09-2021;803,59;3.719,03;98,892;20,7752;56,25
01-10-2021;811,9;3.737,53;98,922;20,5475;56,36
02-10-2021;811,9;3.767,03;98,952;20,539;56,44
03-10-2021;811,9;3.761,20;99,085;20,329;56,4
04-10-2021;803,9;3.766,53;99,27;20,4036;56,37
05-10-2021;805,89;3.764,33;99,3;20,227;56,27
06-10-2021;810,63;3.765,62;99,35;20,1972;56,38
07-10-2021;816,28;3.785,75;99,365;20,264;56,42
08-10-2021;813,62;;;;
09-10-2021;813,62;;;;
10-10-2021;813,62;;;;
11-10-2021;813,62;;;;
12-10-2021;820,18;;;;
13-10-2021;827,56;;;;
14-10-2021;820,19;;;;
15-10-2021;816,81;;;;
16-10-2021;816,81;;;;
17-10-2021;816,81;;;;
18-10-2021;826,19;;;;
19-10-2021;820,29;;;;
20-10-2021;813,33;;;;
21-10-2021;811,55;;;;
;;;;;
